고유번호,업소명,대분류,중분류,개업일,상태
455,파티노래클럽,서울,강서구,20180115,영업/정상
456,썸노래홀,광주광역시,광산구,20180115,영업/정상
457,채플린라이브,경기도,안양시,20180112,영업/정상
458,예스노래빵,서울,강서구,20180112,영업/정상
459,오케이노래타운,서울,강서구,20180112,영업/정상
460,맥캘란,경남,사천시,20180112,영업/정상
461,뉴스,경남,사천시,20180112,영업/정상
462,윈윈가요방,경북,예천군,20180112,영업/정상
463,엔돌핀가요주점,경북,예천군,20180112,영업/정상
464,노리터,충남,부여군,20180111,영업/정상
465,매그넘클럽,광주광역시,서구,20180111,영업/정상
466,킹스,부산,동구,20180110,영업/정상
467,써클(circle),서울,종로구,20180110,영업/정상
468,노래하고춤추는7080,경기도,포천시,20180108,영업/정상
469,아레나노래타운,인천,남동구,20180108,영업/정상
470,그리스,울산,남구,20180108,영업/정상
471,카지노,경기도,동두천시,20180108,영업/정상
472,주가락노래타운,경기도,화성시,20180105,영업/정상
473,락휴 노래타운 좌동점,부산,해운대구,20180105,영업/정상
474,에이치(H),대구,중구,20180105,영업/정상
475,제이노래방,경남,창원시,20180104,영업/정상
476,나도가수다7080,경남,김해시,20180104,영업/정상
477,몰디브,전남,여수시,20180103,영업/정상
478,MC(엠씨),충북,음성군,20180102,영업/정상
479,신나는 유흥주점,경기도,광주시,20180102,영업/정상
480,베테랑 노래클럽,서울,강서구,20171229,영업/정상
481,브이아이피룸(VIP룸),서울,강서구,20171229,영업/정상
482,이사벨라,서울,은평구,20171228,영업/정상
483,장원가요주점,경북,상주시,20171228,영업/정상
484,상한가 노래주점,서울,강서구,20171227,영업/정상
485,히든노래타운,부산,동래구,20171227,영업/정상
486,루트157(ROUTE 157),서울,종로구,20171227,영업/정상
487,퓨마노래타운,경북,구미시,20171227,영업/정상
488,동경노래짱,인천,미추홀구,20171226,영업/정상
489,리젠시,인천,미추홀구,20171226,영업/정상
490,썸노래클럽,충남,천안시,20171226,영업/정상
491,가요쑈7080,충남,천안시,20171226,영업/정상
492,오케이 가요주점,전남,장성군,20171222,영업/정상
493,청아대주점,경남,고성군,20171222,영업/정상
494,배꼽 노래광장,경기도,화성시,20171221,영업/정상
495,벤츠 노래광장,경기도,화성시,20171221,영업/정상
496,헤라노래바,경기도,부천시,20171221,영업/정상
497,빨간여우,충남,아산시,20171221,영업/정상
498,짤노래빠,경기도,평택시,20171221,영업/정상
499,취홍노래방,경남,양산시,20171220,영업/정상
500,탱크,경기도,용인시,20171219,영업/정상
501,대경궁노래방,충북,충주시,20171218,영업/정상
502,파티,경북,안동시,20171218,영업/정상
503,뮤직타워,제주,제주시,20171215,영업/정상
504,바이칼,제주,제주시,20171215,영업/정상
505,동경가요방,인천,미추홀구,20171215,영업/정상
506,줌,울산,중구,20171215,영업/정상
507,수향 노래바,서울,중구,20171214,영업/정상
508,넘버원,부산,중구,20171214,영업/정상
509,시드니노래광장주점,인천,남동구,20171214,영업/정상
510,야상해술마시는노래방,경남,창원시,20171214,영업/정상
511,입술노래클럽,경기도,화성시,20171213,영업/정상
512,별라이브,경기도,안양시,20171213,영업/정상
513,낙동가요주점,경북,상주시,20171213,영업/정상
514,락휴노래타운 수원인계2호점,경기도,수원시,20171213,영업/정상
