발생년,발생년월일시,주야,요일,사망자수,사상자수,발생지
2016,2016120919,야간,금,1,1,강원 홍천군
2016,2016122819,야간,수,1,1,충남 공주시
2016,2016122907,주간,목,1,1,제주 서귀포시
2016,2016122100,야간,수,1,1,경기 군포시
2016,2016122305,야간,금,1,1,서울 서대문구
2016,2016122705,야간,화,1,1,전남 광양시
2016,2016100320,야간,월,1,1,전남 순천시
2016,2016093016,주간,금,1,1,충북 단양군
2016,2016093010,주간,금,1,1,경기 안성시
2016,2016110722,야간,월,1,1,경기 양평군
2016,2016111114,주간,금,1,1,경남 밀양시
2016,2016110615,주간,일,1,1,전남 장성군
2016,2016110520,야간,토,1,1,대구 수성구
2016,2016110718,야간,월,1,1,경기 포천시
2016,2016110718,야간,월,1,1,부산 금정구
2016,2016110719,야간,월,1,1,경기 고양시
2016,2016111808,주간,금,1,1,울산 남구
2016,2016111512,주간,화,1,2,경북 안동시
2016,2016111406,주간,월,1,3,충북 충주시
2016,2016111516,주간,화,1,1,전북 남원시
2016,2016112622,야간,토,1,1,부산 해운대구
2016,2016112323,야간,수,1,1,충북 청주시
2016,2016112607,주간,토,1,1,대구 달성군
2016,2016112218,야간,화,1,1,경기 고양시
2016,2016103015,주간,일,1,1,경북 구미시
2016,2016110411,주간,금,1,1,부산 진구
2016,2016103123,야간,월,1,1,충남 천안시
2016,2016110305,야간,목,1,1,서울 용산구
2016,2016103115,주간,월,1,1,전남 담양군
2016,2016103106,주간,월,1,1,인천 계양구
2016,2016110513,주간,토,1,1,대구 동구
2016,2016110212,주간,수,1,1,광주 광산구
