행정구역별,연도별,연령별,총인구,총인구_남자,총인구_여자,내국인_남자,내국인_여자,총인구_외국인,외국인_남자,외국인_여자,외국인비율
경기 과천,2017,45~49세,5499,2611,2888,2591,2869,39,20,19,0.0071
경기 과천,2017,50~54세,4989,2478,2511,2465,2487,37,13,24,0.0074
경기 과천,2017,55~59세,4632,2249,2383,2236,2362,34,13,21,0.0073
경기 과천,2017,60~64세,3356,1680,1676,1669,1659,28,11,17,0.0083
경기 과천,2017,65~69세,2120,1008,1112,1003,1106,11,5,6,0.0052
경기 과천,2017,70~74세,1709,746,963,742,961,6,4,2,0.0035
경기 과천,2017,75~79세,1458,598,860,597,858,3,1,2,0.0021
경기 과천,2017,80~84세,1024,368,656,368,656,0,0,0,0
경기 과천,2017,85세이상,731,213,518,209,518,4,4,0,0.0055
경기 과천,2017,85~89세,516,158,358,156,358,2,2,0,0.0039
경기 과천,2017,90~94세,170,40,130,39,130,1,1,0,0.0059
경기 과천,2017,95~99세,40,14,26,13,26,1,1,0,0.025
경기 과천,2017,100세이상,5,0,0,0,0,0,0,0,0
경기 과천,2017,15세미만,7157,3722,3435,3716,3429,12,6,6,0.0017
경기 과천,2017,15~64세,39384,19612,19772,19446,19588,350,166,184,0.0089
경기 과천,2017,65세이상,7042,2933,4109,2919,4099,24,14,10,0.0034
경기 과천,2017,평균연령,41.4,40.1,42.7,40,42.7,0.1,0.1,0,0.0024
경기 과천,2017,중위연령,43.7,42.2,44.8,42.2,44.8,0,0,0,0
경기 구리,2017,합계,189741,93903,95838,93112,94888,1741,791,950,0.0092
경기 구리,2017,0~4세,8019,4106,3913,4095,3905,19,11,8,0.0024
경기 구리,2017,5~9세,8665,4455,4210,4446,4200,19,9,10,0.0022
경기 구리,2017,10~14세,8894,4650,4244,4642,4239,13,8,5,0.0015
경기 구리,2017,15~19세,11051,5658,5393,5649,5389,13,9,4,0.0012
경기 구리,2017,20~24세,12983,6838,6145,6763,6074,146,75,71,0.0112
경기 구리,2017,25~29세,12387,6233,6154,6103,6015,269,130,139,0.0217
경기 구리,2017,30~34세,12150,6042,6108,5931,6004,215,111,104,0.0177
경기 구리,2017,35~39세,15396,7724,7672,7636,7581,179,88,91,0.0116
경기 구리,2017,40~44세,15650,7723,7927,7660,7831,159,63,96,0.0102
경기 구리,2017,45~49세,18447,8862,9585,8779,9481,187,83,104,0.0101
경기 구리,2017,50~54세,16885,8373,8512,8310,8404,171,63,108,0.0101
경기 구리,2017,55~59세,16539,8331,8208,8274,8119,146,57,89,0.0088
경기 구리,2017,60~64세,11223,5596,5627,5551,5562,110,45,65,0.0098
경기 구리,2017,65~69세,7218,3505,3713,3476,3683,59,29,30,0.0082
경기 구리,2017,70~74세,5648,2540,3108,2532,3099,17,8,9,0.003
경기 구리,2017,75~79세,4549,1960,2589,1959,2580,10,1,9,0.0022
경기 구리,2017,80~84세,2464,896,1568,895,1565,4,1,3,0.0016
경기 구리,2017,85세이상,1573,411,1162,411,1157,5,0,5,0.0032
경기 구리,2017,85~89세,1106,319,787,319,783,4,0,4,0.0036
경기 구리,2017,90~94세,369,72,297,72,296,1,0,1,0.0027
경기 구리,2017,95~99세,85,18,67,18,67,0,0,0,0
경기 구리,2017,100세이상,13,0,11,0,11,0,0,0,0
경기 구리,2017,15세미만,25578,13211,12367,13183,12344,51,28,23,0.002
경기 구리,2017,15~64세,142711,71380,71331,70656,70460,1595,724,871,0.0112
경기 구리,2017,65세이상,21452,9312,12140,9273,12084,95,39,56,0.0044
경기 구리,2017,평균연령,40.4,39.5,41.2,39.5,41.2,0,0,0,0
경기 구리,2017,중위연령,41.8,40.8,42.7,40.9,42.7,-0.1,-0.1,0,-0.0024
경기 남양주,2017,합계,644936,322289,322647,317098,319302,8536,5191,3345,0.0132
